title,price,reference,image_url
pc portable dell vostro 3530 / i5-1335u / 16 go / noir,1859000.0,[N1808PVNB3530EM-16],
pc portable hp 15-fd0045nk / i5-1334u / mx570a 2g / 8 go / windows 11 / gold,1859000.0,[A2AN8EA],
pc portable dell vostro 3520 / i7-1255u / 8 go / 512 go ssd / noir,1859000.0,[V3520I7-UBU],
pc portable hp 15-fd0045nk / i5-1334u / mx570a 2g / 8 go / windows 11 / gold avec sacoche offerte,1869000.0,[A2AN8EA-SAC],
pc portable hp 15-fd0080nk / i5-1334u / mx570 2g / 12 go / 512 go ssd / noir,1879000.0,[AB1T6EA-12],
pc portable hp 15-fd0079nk / i5-1334u / mx570 2g / 12 go / 512 go ssd / silver,1879000.0,[AB1T5EA-12],
pc portable dell vostro 3520 / i7-1255u / 12 go / 512 go ssd / noir,1879000.0,[V3520I7-UBU-12],
pc portable hp 15-fd0045nk / i5-1334u / mx570a 2g / 12 go / windows 11 / gold,1889000.0,[A2AN8EA-12],
pc portable dell vostro 3530 / i5-1335u / 24 go / noir,1899000.0,[N1808PVNB3530EM-24],
pc portable dell vostro 3520 / i7-1255u / 8 go / 512 go ssd / noir / windows 11,1899000.0,[633108-3520],
pc portable hp probook 455 g9 / amd ryzen 5 / 24 go,1899000.0,[9M3Q0AT-24],
pc portable dell vostro 3530 / i5-1335u / 8 go / 512 go ssd / noir,1905000.0,[N1808PVNB3530EMEA0-512],
pc portable dell vostro 3530 / i5-1335u / 16 go / noir / windows 11 pro,1907000.0,[N1808PVNB3530-16-W],
pc portable hp 15-fd0079nk / i5-1334u / mx570 2g / 16 go / 512 go ssd / silver,1919000.0,[AB1T5EA-16],
pc portable hp 15-fd0080nk / i5-1334u / mx570 2g / 16 go / 512 go ssd / noir,1919000.0,[AB1T6EA-16],
pc portable hp 15-fd0045nk / i5-1334u / mx570a 2g / 16 go / windows 11 / gold,1919000.0,[A2AN8EA-16],
pc portable hp 15-fd0046nk / i5-1334u / mx570 2g / 8 go / 512 go ssd / windows 11 / gold,1929000.0,[A0DB5EA],
portable hp 15-fd0022nk / i5-1335u / 16 go / windows 11 / silver,1929000.0,[AR-886K7EA-16],
pc portable hp 15-fd0080nk / i5-1334u / mx570 2g / 24 go / 512 go ssd / noir,1949000.0,[AB1T6EA-24],
pc portable hp 15-fd0079nk / i5-1334u / mx570 2g / 24 go / 512 go ssd / silver,1949000.0,[AB1T5EA-24],
"pc portable dell latitude 3540 / i5 13è gén / 8 go 256ssd 15.6"" fhd",1959000.0,[065302-3540],
