title,price,reference,description
PC Portable HP 15-fd0095nk i5 13è Gén 12G 512Go SSD - Silver,"1 695,000 DT", [BU-A2AP7EA-12G],
PC Portable HP 15-fd0094nk i5 13ème Gén 12Go 512Go SSD - Silver & Bleu,"1 695,000 DT", [BU-A2AP5EA-12G],
PC Portable HP 15-fd0097nk i5 13è Gén 12G 512Go SSD - Noir,"1 695,000 DT", [BU-A2AP8EA-12G],
,,,
,,,
PC Portable ASUS Vivobook 16 X1605VA i5 13è Gén 16Go 512Go SSD - Silver,"1 699,000 DT", [X1605VA-MB475W-16G],
PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 7 8Go 512Go SSD - Gris,"1 699,000 DT", [82R400KVFG],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 24Go 512G SSD - Noir,"1 705,000 DT", [BU-83A1009HFE-24G-W11P],
PC Portable HP 15-fd0041nk i5 13è Gén 16Go 512Go SSD - Silver & Bleu,"1 709,000 DT", [9D6V9EA-16G],
PC Portable HP 15-fd0042nk i5 13è Gén 16Go 512Go SSD - Silver,"1 709,000 DT", [9D6W0EA-16G],
